"Participant","Trial","Stimulus","Condition","TrialType","Accuracy","RT"
"sub-001",1,"Honesty","Abstract","New",1,368.83217934464
"sub-001",2,"Train","Abstract","New",1,679.795029962063
"sub-001",3,"Book","Concrete","Old",0,545.732944821271
"sub-001",4,"River","Concrete","New",0,798.318613765391
"sub-001",5,"Computer","Concrete","New",0,477.658515597592
"sub-001",6,"Boat","Abstract","Old",1,374.205784159765
"sub-001",7,"Creativity","Abstract","Old",1,470.365152679321
"sub-001",8,"Car","Concrete","New",0,299.359370963522
"sub-001",9,"Phone","Concrete","Old",1,497.387538168434
"sub-001",10,"Bridge","Concrete","Old",1,509.011245397729
"sub-001",11,"Happiness","Concrete","Old",1,522.357726711448
"sub-001",12,"Loyalty","Concrete","Old",1,645.126863776701
"sub-001",13,"Patience","Concrete","New",1,682.158476790105
"sub-001",14,"Love","Abstract","Old",1,377.863863501342
"sub-001",15,"Chair","Concrete","New",1,165.127094047882
"sub-001",16,"Freedom","Concrete","Old",1,801.474075268994
"sub-001",17,"Peace","Concrete","New",1,894.952278015547
"sub-001",18,"Car","Abstract","New",1,518.762199576543
"sub-001",19,"Table","Concrete","New",1,442.308729344187
"sub-001",20,"Phone","Abstract","Old",1,462.238873032676
"sub-001",21,"Patience","Abstract","New",1,356.814210629022
"sub-001",22,"Apple","Abstract","New",1,445.140917139719
"sub-001",23,"Determination","Concrete","New",1,521.298098339218
"sub-001",24,"Book","Abstract","Old",1,501.160709278617
"sub-001",25,"Bridge","Abstract","Old",1,737.155674780186
"sub-001",26,"Mountain","Concrete","Old",1,659.532992719205
"sub-001",27,"Garden","Concrete","Old",0,461.078358537892
"sub-001",28,"School","Abstract","New",1,1091.73160539969
"sub-001",29,"Integrity","Concrete","New",1,391.83344952669
"sub-001",30,"Boat","Concrete","Old",1,381.647927579777
"sub-001",31,"Train","Concrete","New",0,194.890472947895
"sub-001",32,"Park","Abstract","New",1,437.009945840729
"sub-001",33,"Freedom","Abstract","Old",1,509.563367721811
"sub-001",34,"Determination","Abstract","New",1,313.658588317181
"sub-001",35,"Generosity","Abstract","New",1,386.847249031147
"sub-001",36,"Trust","Concrete","New",1,349.261149220252
"sub-001",37,"Wisdom","Abstract","Old",1,854.051399416597
"sub-001",38,"Camera","Abstract","Old",1,623.577147018495
"sub-001",39,"Justice","Abstract","Old",1,697.874539553095
"sub-001",40,"Lamp","Abstract","New",1,702.648104022564
"sub-001",41,"Apple","Concrete","New",0,571.308546388985
"sub-001",42,"House","Abstract","Old",1,485.029047577221
"sub-001",43,"Compassion","Abstract","Old",1,386.043425262701
"sub-001",44,"Friendship","Abstract","Old",1,1033.94398159027
"sub-001",45,"Garden","Abstract","Old",1,255.277023524489
"sub-001",46,"House","Concrete","Old",1,389.724336440982
"sub-001",47,"Success","Concrete","New",1,277.166967333315
"sub-001",48,"Creativity","Concrete","Old",1,493.52730928492
"sub-001",49,"Compassion","Concrete","Old",1,449.731758825564
"sub-001",50,"Love","Concrete","Old",1,710.435319014739
"sub-001",51,"Peace","Abstract","New",1,495.249849082408
"sub-001",52,"River","Abstract","New",0,756.223231981323
"sub-001",53,"Generosity","Concrete","New",1,416.919640623222
"sub-001",54,"Ambition","Abstract","New",1,406.441963053828
"sub-001",55,"Shoe","Concrete","New",0,460.545841992207
"sub-001",56,"Knowledge","Concrete","Old",1,310.757747207884
"sub-001",57,"Window","Concrete","New",1,789.044688768645
"sub-001",58,"Wisdom","Concrete","Old",1,280.856469642652
"sub-001",59,"Happiness","Abstract","Old",1,573.702306655429
"sub-001",60,"Hospital","Abstract","New",0,281.966792672984
"sub-001",61,"Lamp","Concrete","New",1,724.431709397894
"sub-001",62,"Dog","Concrete","Old",0,805.231636243747
"sub-001",63,"Honesty","Concrete","New",1,471.908775151801
"sub-001",64,"Camera","Concrete","Old",1,675.212545066604
"sub-001",65,"Shoe","Abstract","New",0,441.554925407682
"sub-001",66,"Respect","Concrete","New",1,486.650348769625
"sub-001",67,"Ambition","Concrete","New",1,848.097010707563
"sub-001",68,"Faith","Concrete","Old",1,342.537661832006
"sub-001",69,"Justice","Concrete","Old",1,596.481871334101
"sub-001",70,"Humility","Abstract","Old",1,676.517199977289
"sub-001",71,"Courage","Concrete","Old",1,412.01827413883
"sub-001",72,"Friendship","Concrete","Old",1,608.768189719501
"sub-001",73,"Courage","Abstract","Old",1,654.347274890646
"sub-001",74,"Success","Abstract","New",1,336.055987774603
"sub-001",75,"Tree","Abstract","Old",1,936.636508476519
"sub-001",76,"Beach","Abstract","New",0,545.916523498569
"sub-001",77,"Road","Abstract","Old",1,451.423612577614
"sub-001",78,"Gratitude","Concrete","Old",1,743.877432721408
"sub-001",79,"Integrity","Abstract","New",1,323.901863423145
"sub-001",80,"Tree","Concrete","Old",1,771.712671366793
"sub-001",81,"Window","Abstract","New",1,715.916801815171
"sub-001",82,"Respect","Abstract","New",1,708.255261052042
"sub-001",83,"Beach","Concrete","New",0,187.100598349934
"sub-001",84,"Knowledge","Abstract","Old",1,297.715881675024
"sub-001",85,"Trust","Abstract","New",1,342.69939060126
"sub-001",86,"Table","Abstract","New",1,896.05564093791
"sub-001",87,"Faith","Abstract","Old",1,368.621623734876
"sub-001",88,"Hope","Abstract","New",1,557.494130600857
"sub-001",89,"Hospital","Concrete","New",0,935.852440328182
"sub-001",90,"Hope","Concrete","New",1,477.87304437589
"sub-001",91,"Loyalty","Abstract","Old",1,738.125295287484
"sub-001",92,"Chair","Abstract","New",1,358.389084366092
"sub-001",93,"Park","Concrete","New",0,451.205451065941
"sub-001",94,"Humility","Concrete","Old",1,653.311289749625
