"","Participant","Trial","Stimulus","Condition","Accuracy","RT"
"504","sub-005",1,"Bridge","Concrete",0,829.972481761935
"384","sub-005",2,"Camera","Concrete",0,632.941238264365
"104","sub-005",3,"Compassion","Abstract",1,563.75690010595
"264","sub-005",4,"Dog","Concrete",1,370.554104081899
"204","sub-005",5,"Courage","Abstract",1,374.628368659138
"64","sub-005",6,"Success","Abstract",1,521.030723161434
"374","sub-005",7,"Computer","Concrete",1,271.213055994164
"74","sub-005",8,"Justice","Abstract",1,500.943598397167
"494","sub-005",9,"Beach","Concrete",0,563.481871190169
"316","sub-005",10,"Car","Concrete",1,337.565298489861
"464","sub-005",11,"Hospital","Concrete",0,547.53342775907
"484","sub-005",12,"Lamp","Concrete",0,793.859402662515
"154","sub-005",13,"Happiness","Abstract",1,818.775993582192
"54","sub-005",14,"Patience","Abstract",1,631.754846899474
"454","sub-005",15,"Garden","Concrete",0,302.318519989728
"116","sub-005",16,"Wisdom","Abstract",1,585.796350639295
"444","sub-005",17,"Book","Concrete",0,432.483502249735
"354","sub-005",18,"Phone","Concrete",1,427.485911207497
"164","sub-005",19,"Friendship","Abstract",1,532.689795830517
"274","sub-005",20,"Park","Concrete",1,238.210260504998
"84","sub-005",21,"Integrity","Abstract",1,659.328084743988
"216","sub-005",22,"Faith","Abstract",1,857.654851370938
"254","sub-005",23,"Ambition","Abstract",0,572.147049745777
"94","sub-005",24,"Generosity","Abstract",1,656.98255763324
"234","sub-005",25,"Respect","Abstract",0,448.510072127901
"317","sub-005",26,"Love","Abstract",1,427.463609770053
"144","sub-005",27,"Knowledge","Abstract",1,753.15225924353
"474","sub-005",28,"School","Concrete",0,188.919775134398
"184","sub-005",29,"Creativity","Abstract",1,314.54321710802
"284","sub-005",30,"Tree","Concrete",1,207.990559686117
"434","sub-005",31,"Apple","Concrete",0,409.735938100007
"416","sub-005",32,"House","Concrete",0,651.224652718443
"194","sub-005",33,"Freedom","Abstract",1,512.469386330935
"294","sub-005",34,"Mountain","Concrete",1,710.260815884432
"224","sub-005",35,"Peace","Abstract",0,520.22708463638
"217","sub-005",36,"Loyalty","Abstract",0,642.24707116018
"124","sub-005",37,"Humility","Abstract",1,710.888817521014
"244","sub-005",38,"Honesty","Abstract",0,364.568575514761
"424","sub-005",39,"Shoe","Concrete",0,142.032984339346
"417","sub-005",40,"Hope","Abstract",1,327.868999705991
"174","sub-005",41,"Gratitude","Abstract",1,471.972262373012
"334","sub-005",42,"Road","Concrete",1,374.962294125654
"404","sub-005",43,"Chair","Concrete",0,201.240412932942
"304","sub-005",44,"Table","Concrete",1,354.551594743872
"344","sub-005",45,"Window","Concrete",1,401.211626362608
"134","sub-005",46,"Determination","Abstract",1,726.71780697161
"117","sub-005",47,"Trust","Abstract",1,686.954912935384
"324","sub-005",48,"River","Concrete",1,431.650279595103
"394","sub-005",49,"Boat","Concrete",0,468.237547353862
"364","sub-005",50,"Train","Concrete",1,369.399114721029
