"","Participant","Trial","Stimulus","Condition","TrialType","Accuracy","RT"
"5215","sub-015",1,"Love","Concrete","New",1,376.584393881478
"8714","sub-015",2,"Beach","Concrete","Old",1,789.403572021187
"7414","sub-015",3,"Happiness","Concrete","Old",1,428.41007667748
"8314","sub-015",4,"Lamp","Concrete","Old",1,628.144905591458
"6714","sub-015",5,"Faith","Concrete","Old",1,-27.4085977742207
"4714","sub-015",6,"Garden","Abstract","New",1,665.192881972219
"6514","sub-015",7,"Peace","Concrete","Old",1,636.7351736453
"3314","sub-015",8,"Lamp","Abstract","Old",1,835.154185416657
"2014","sub-015",9,"Knowledge","Abstract","New",1,646.598879171751
"4118","sub-015",10,"Hospital","Abstract","New",1,566.828922747192
"790","sub-015",11,"Justice","Abstract","New",1,732.900823712296
"5118","sub-015",12,"Creativity","Concrete","Old",1,585.059203494677
"9614","sub-015",13,"Park","Concrete","Old",0,377.227959679391
"7215","sub-015",14,"Ambition","Concrete","New",1,240.219448571753
"1514","sub-015",15,"Peace","Abstract","Old",1,884.378738456628
"4614","sub-015",16,"Park","Abstract","Old",1,341.409446249465
"5014","sub-015",17,"Dog","Abstract","Old",0,523.042074004359
"6814","sub-015",18,"Integrity","Concrete","Old",1,842.153975997996
"3514","sub-015",19,"Bridge","Abstract","New",1,442.291153682045
"8914","sub-015",20,"Table","Concrete","New",1,357.50426629974
"2614","sub-015",21,"Mountain","Abstract","New",1,538.692429761137
"2118","sub-015",22,"Wisdom","Abstract","New",1,340.051608093167
"1014","sub-015",23,"Loyalty","Abstract","Old",1,724.991221618193
"390","sub-015",24,"Friendship","Abstract","New",1,748.142491783516
"9814","sub-015",25,"River","Concrete","Old",0,393.315055104707
"8614","sub-015",26,"Road","Concrete","New",1,398.14433293704
"6414","sub-015",27,"Respect","Concrete","Old",1,275.285974560387
"7314","sub-015",28,"Gratitude","Concrete","New",1,575.363440447294
"4014","sub-015",29,"Book","Abstract","Old",1,609.68744812467
"6614","sub-015",30,"Generosity","Concrete","Old",1,627.663565460976
"5814","sub-015",31,"Determination","Concrete","Old",1,578.668780288357
